filename	label	off0	off1	span	code	semantic_rel
S0004-06142005000700014-1	PROCEDIMIENTO	1023	1044	Auscultación pulmonar	449264008	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1143	1166	exploración neurológica	84728005	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1307	1328	exploración urológica	302778005	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1452	1461	palpación	113011001	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1509	1525	transiluminación	103741002	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1592	1601	Hemograma	26604007	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1702	1713	Coagulación	3116009	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1738	1748	Bioquímica	412890008	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1924	1940	Orina: sedimento	27171005	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	1981	1993	Hemocultivos	30088009	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2020	2056	Serologías específicas para Brucella	104279004	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2131	2148	pruebas de imagen	363679005	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2163	2171	Rx tórax	399208008	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2173	2192	Ecografía abdominal	45036003	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2194	2205	TAC craneal	169066007	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2207	2235	Ecocardiograma transtorácico	433236007	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2287	2307	Ecografía testicular	303918003	NARROW
S0004-06142005000700014-1	PROCEDIMIENTO	2614	2626	antitérmicos	709541000	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2628	2645	antiinflamatorios	330901000	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2647	2653	reposo	183051005	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	2656	2676	elevación testicular	103720008	NARROW
S0004-06142005000700014-1	PROCEDIMIENTO	2687	2710	tratamiento antibiótico	281789004	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	3001	3024	tratamiento antibiótico	281789004	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	668	686	exploración física	5880005	EXACT
S0004-06142005000700014-1	PROCEDIMIENTO	959	980	Auscultación cardíaca	449263002	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	112	122	trasplante	77465005	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	1135	1147	RMN cerebral	29567006	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	132	146	apendicectomía	80146002	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	1435	1476	LCR: determinación sexológica para HTLV-I	104317009	NARROW
S0004-06142005001000011-3	PROCEDIMIENTO	1501	1582	Determinación sanguínea de anticuerpos (ELISA) y de existencia del virus (HTLV-I)	104317009	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	2018	2042	sonda vesical permanente	23973005	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	2079	2128	reeducación vesical mediante sondaje intermitente	704117005	NARROW
S0004-06142005001000011-3	PROCEDIMIENTO	2133	2152	trasplante hepático	18027006	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	2225	2241	trasplantectomía	240326000	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	403	422	trasplante hepático	18027006	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	46	65	trasplante hepático	18027006	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	537	547	trasplante	77465005	EXACT
S0004-06142005001000011-3	PROCEDIMIENTO	755	773	exploración física	5880005	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	1130	1156	tinción inmunohistoquímica	117617002	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	177	206	estudios citológicos de orina	609316007	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	20	36	histerectomizada	236886002	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	250	268	Estudios de imagen	363679005	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	285	308	intervención quirúrgica	387713003	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	590	615	enucleación de tal lesión	39250009	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	616	644	se tomó una muestra ureteral	429894001	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	667	694	diagnóstico histopatológico	252416005	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	737	757	estudio macroscópico	168126000	EXACT
S0004-06142006000200013-1	PROCEDIMIENTO	953	972	estudio histológico	252416005	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	1163	1189	estudio inmunohistoquímico	117617002	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	1443	1453	ecografias	16310003	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	1468	1470	TC	77477000	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	307	309	TC	77477000	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	589	619	Gammagrafía ósea con Tc99m-MDP	418832007	NARROW
S0004-06142006000200014-1	PROCEDIMIENTO	65	74	ecografía	16310003	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	702	729	nefrectomía radical derecha	443869003	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	870	879	disección	122459003	EXACT
S0004-06142006000200014-1	PROCEDIMIENTO	930	948	anatomo-patológico	108257001	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	148	161	examen físico	5880005	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	208	240	auscultación cardio-respiratoria	449263002+449264008	COMPOSITE
S0004-06142006000600014-1	PROCEDIMIENTO	302	314	tacto rectal	410006001	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	393	412	ecografía urológica	302801006	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	431	448	cistouretroscopía	386745004	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	550	592	radiografía de uretrocistografía miccional	54810009	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	707	741	estudio endoscópico bajo anestesia	72116000	EXACT
S0004-06142006000600014-1	PROCEDIMIENTO	837	858	resección endoscópica	264274002	NARROW
S0004-06142006000600014-1	PROCEDIMIENTO	885	925	anatomopatológico de la pieza quirúrgica	77946005	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	1237	1247	colectomía	23968004	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	1361	1381	ecografía testicular	303918003	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	1607	1618	exploración	5880005	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	1816	1878	exploración quirúrgica de las lesiones bajo anestesia raquídea	387713003+16388003	COMPOSITE
S0004-06142006000700014-1	PROCEDIMIENTO	1860	1878	anestesia raquídea	16388003	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	1906	1923	incisión inguinal	1176009	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	1925	1984	extracción de teste derecho y cordón espermático y clampaje	767339001	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	230	259	colectomía subtotal izquierda	82619000	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	2475	2498	biopsia intraoperatoria	86273004	NARROW
S0004-06142006000700014-1	PROCEDIMIENTO	2631	2690	orquiectomía radical derecha, incluyendo cordón espermático	767339001	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	264	289	anastomosis ileosigmoidea	42268006	EXACT
S0004-06142006000700014-1	PROCEDIMIENTO	2707	2726	Anatomía Patológica	108257001	EXACT
