filename	off0	off1	code	span	semantic_rel
es-S0365-66912011000600005-2	333	361	246658005	«manchas» en el campo visual	EXACT
es-S0004-06142010000300011-1	649	716	171250001	5HIAA en orina de 24 horas estaba dentro de los parámetros normales	NARROW
es-S1130-01082007000700011-2	1463	1505	166315009	A nivel analítico no presentaba alteración	NARROW
es-S0210-48062009000300017-1	2713	2759	126825008	a nivel del cardias masa mamelonada y ulcerada	NARROW
es-S1130-01082006000100014-1	2282	2295	9209005	abdomen agudo	EXACT
es-S0004-06142009000500013-1	403	417	249543005	abdomen blando	EXACT
es-S1130-01082008000900015-1	222	249	249543005	abdomen blando y depresible	EXACT
es-S1130-01082005001000014-1	590	629	249543005	abdomen blando, depresible, no doloroso	EXACT
es-S0212-71992000001200010-1	721	773	60728008+301404009	abdomen distendido y doloroso en hipocondrio derecho	COMPOSITE
es-S0210-48062005000300016-2	932	1007	301411008+1119211005	Abdomen doloroso a la palpación profunda en fosa ilíaca y flanco izquierdos	COMPOSITE
es-S1130-01082007000700016-1	570	602	102614006	abdomen doloroso de forma difusa	EXACT
es-S0212-71992007000600008-1	820	849	249543005	abdomen era blando depresible	EXACT
es-S0210-48062005001000013-1	245	276	249543005	abdomen era blando y depresible	EXACT
es-S0378-48352006000900006-1	465	495	249543005	abdomen era blando, depresible	EXACT
es-S0212-71992006000700009-1	998	1019	60728008	abdomen era globuloso	EXACT
es-S0212-71992005000700008-1	966	1022	249543005+440220007	abdomen es blando y depresible, doloroso de forma difusa	COMPOSITE
es-S0212-71992006000100006-1	1363	1392	249543005	abdomen es blando, depresible	EXACT
es-S1130-01082007000600012-1	686	715	249543005	abdomen es blando, depresible	EXACT
es-S0004-06142007000900014-1	487	528	60728008+249543005	abdomen es globuloso, blando y depresible	COMPOSITE
es-S0210-56912007000900007-6	396	417	249543005	abdomen estaba blando	EXACT
es-S1130-01082007001000017-1	527	574	60728008+249553006	abdomen estaba distendido y mate a la percusión	COMPOSITE
es-S0210-48062007000500016-1	829	884	60728008+249543005	abdomen globuloso, blando y depresible, no peritonítico	COMPOSITE
es-S1130-01082010000300015-1	343	405	60728008+249543005+838411007	abdomen globuloso, blando, depresible, doloroso a la palpación	COMPOSITE
es-S0212-16112012000400060-1	1207	1235	60728008+271836003	abdomen globuloso, timpánico	COMPOSITE
es-S0212-71992006000200006-1	2196	2215	162037008	abdomen no doloroso	EXACT
es-S0210-48062009000900015-1	886	910	163133003	abdomen sin alteraciones	EXACT
es-S0004-06142007000700013-1	659	683	60728008+249545003	abdomen, globuloso, duro	COMPOSITE
es-S0212-71992006000600007-1	1488	1522	274818004	abolición de los reflejos aquíleos	EXACT
es-S0210-48062009000400016-1	907	940	274732007+17201003	abundante orina y heces en pelvis	COMPOSITE
es-S0210-48062009000400016-1	1241	1287	366368001	abundante salida de orina a través del drenaje	NARROW
es-S0211-69952012000700031-1	920	940	769070007	abundantes levaduras	EXACT
es-S0365-66912005001100008-1	2571	2580	23620008	acantosis	EXACT
es-S1130-01082005001100014-1	341	365	135817005	aceptable estado general	EXACT
es-S0211-69952014000100016-1	2580	2615	473195006	aceptable función del injerto renal	EXACT
es-S0210-48062005000500016-1	1995	2003	51387008	acidosis	EXACT
es-S0212-16112004000400007-1	1345	1364	59455009	acidosis metabólica	EXACT
es-S0212-16112012000300028-1	969	988	59455009	acidosis metabólica	EXACT
es-S0212-16112012000400060-1	2101	2120	59455009	acidosis metabólica	EXACT
es-S0210-56912007000900007-1	1582	1601	59455009	acidosis metabólica	EXACT
es-S0212-16112010000600022-1	1940	1978	91273001	acidosis metabólica hiperlactacidémica	EXACT
es-S0211-57352011000100008-1	1476	1484	33994004	acinesia	EXACT
es-S0210-56912008000100008-4	1025	1054	195675009	acinesia inferobasal y apical	NARROW
es-S0465-546X2014000300010-1	808	814	70396004	acolia	EXACT
es-S0212-71992004000800009-1	407	418	239055005	acropaquias	EXACT
es-S0212-16112012000300028-1	3593	3633	251471009	actividad de base rápida de bajo voltaje	NARROW
es-S0211-69952015000100013-1	373	459	102801008+88213004	actividad de renina plasmática (ARP) y aldosterona plasmática (AP) resultaron elevados	COMPOSITE
es-S0212-71992006000700008-1	639	678	364874005	actividad irritativa temporal izquierda	NARROW
es-S0212-71992005000400009-1	2544	2624	90256008	actividad osteogénica intensamente aumentada a nivel de la articulación esternal	NARROW
es-S0376-78922015000200010-1	1139	1160	15625571000119102	actividad paroxística	EXACT
es-S0212-16112007000600015-1	2200	2217	289700000	actividad uterina	EXACT
es-S0212-16112007000600015-1	2426	2443	289700000	actividad uterina	EXACT
es-S0210-48062007001000016-1	590	621	60862001	acúfenos de instauración súbita	NARROW
es-S0365-66912004000600008-1	1090	1122	247156002	acúmulo de líquido subrretiniano	NARROW
