code	en	es	nl	sv
248152002	Female	mujer	vrouwelijk	kvinnligt kön
248153007	Male	varón	mannelijk	manligt kön
184099003	Date of birth	fecha de nacimiento	geboortedatum	födelsedatum
1153637007	Body height	altura corporal		kroppslängd
27113001	Body weight	peso corporal	lichaamsgewicht	kroppsvikt
60621009	Body mass index	índice de masa corporal	BMI	BMI
307117005	Place of origin	lugar de origen	plaats van herkomst	ursprungsplats
399423000	Date of admission	fecha de admisión	datum van opname	inskrivningsdatum
420816009	New York Heart Association Classification	clasificación de la New York Heart Association		NYHA-klassificering
29857009	Chest pain	dolor de pecho	pijn op borst	bröstsmärta
267036007	Dyspnea	disnea	dyspneu	dyspné
62744007	Orthopnea	ortopnea	orthopneu	ortopné
55442000	Paroxysmal nocturnal dyspnoea	disnea paroxística nocturna	paroxismale nachtelijke dyspneu	paroxysmal nattlig dyspné
267044007	Impaired exercise tolerance	alteración de la tolerancia al ejercicio	verminderde inspanningstolerantie	nedsatt tolerans för fysisk ansträngning
84229001	Fatigue	fatiga	vermoeidheid	fatigue
267039000	Swollen ankle region	tumefacción de tobillo	gezwollen enkelregio	svullen ankel
62548007	Nocturnal cough	tos nocturna	nachtelijke hoest	nattlig hosta
79890006	Loss of appetite	pérdida del apetito	anorexie	aptitlöshet
366979004	Depressed mood	estado de ánimo deprimido	sombere stemming	sänkt stämningsläge
80313002	Palpitations	palpitaciones	hartkloppingen	hjärtklappning
404640003	Dizziness	mareo	duizeligheid	yrsel
271594007	Syncope	síncope	syncope	svimning
22447003	Raised jugular venous pressure	presión venosa yugular aumentada	verhoogde jugulair veneuze druk	förhöjt tryck i vena jugularis
72196001	Hepatojugular reflux	reflujo hepatoyugular	hepatojugulaire reflux	hepatojugulär reflux
277455002	Third heart sound	tercer ruido cardíaco	derde harttoon	tredje hjärttonen
262286000	Weight increased	peso aumentado	gewicht toegenomen	viktuppgång
89362005	Weight loss	descenso de peso	gewichtsverlies	viktnedgång
88610006	Heart murmur	soplo cardíaco	hartruis	hjärtblåsljud
271809000	Peripheral edema	edema periférico	perifeer oedeem	perifert ödem
48409008	Respiratory crackles	rales crepitantes	respiratoire crepitaties	krepitationer vid andning
60046008	Pleural effusion	derrame pleural	pleura-effusie	utgjutning i lungsäck
3424008	Tachycardia	taquicardia	tachycardie	takykardi
61086009	Pulse irregular	pulso irregular	onregelmatige pulsaties	oregelbunden puls
271823003	Tachypnoea	taquipnea	tachypneu	takypné
309155007	Cheyne-Stokes respiration	respiración de Cheyne-Stokes	Cheyne-Stokes-ademhaling	Cheyne-Stokes andning
80515008	Large liver	hepatomegalia	hepatomegalie	stor lever
389026000	Ascites	ascitis	ascites	ascites
83128009	Oliguria	oliguria	oligurie	oliguri
399304008	Systolic blood pressure on admission	tensión arterial sistólica durante la admisión		systoliskt blodtryck vid inskrivning
446226005	Diastolic blood pressure on admission	presión sanguínea diastólica al ingreso		diastoliskt blodtryck vid inläggning
6797001	Mean blood pressure	presión arterial media	gemiddelde bloeddruk	medelblodtryck
442349007	Venous oxygen saturation	saturación de oxígeno en sangre venosa		venös syremättnad
442476006	Arterial oxygen saturation	saturación de oxígeno en sangre arterial		arteriell syremättnad
251149006	Cardiac rhythm type	tipo de ritmo cardíaco		typ av hjärtrytm
401303003	Acute ST segment elevation myocardial infarction	infarto agudo de miocardio con elevación del segmento ST	acuut myocardinfarct met elevatie van ST-segment	akut hjärtinfarkt med ST-höjning
401314000	Acute non-ST segment elevation myocardial infarction	infarto agudo de miocardio sin elevación del segmento ST	acuut myocardinfarct zonder elevatie van ST-segment	akut hjärtinfarkt utan ST-höjning
251208001	QRS complex duration	duración del complejo QRS	duur van QRS-complex	QRS-komplexets duration
251196003	QRS Axis	eje QRS	QRS-as op ECG	QRS-komplexets el-axel
364075005	Heart rate	frecuencia cardíaca	hartslagfrequentie	hjärtfrekvens
250908004	Left ventricular ejection fraction	fracción de eyección del ventrículo izquierdo	linkerventrikelejectiefractie	vänster kammares ejektionsfraktion
301898006	Body surface area	superficie corporal		kroppsytans area
250931004	Left ventricular end-systolic cavity size	tamaño de la cavidad ventricular izquierda al final de la sístole		volym på vänster kammare i slutsystole
250939002	Right ventricular ejection fraction	fracción de eyección del ventrículo derecho		höger kammares ejektionsfraktion
301112006	Finding of heart rhythm	hallazgo relacionado con el ritmo cardíaco	bevinding betreffende hartritme	fynd som rör hjärtrytm
723240002	a wave	onda a	A-golf	en våg
399287000	Left ventricular area fractional change	cambio fraccional de área de ventrículo izquierdo		relativ förändring av vänster kammares area
38082009	Hemoglobin	hemoglobina	hemoglobine	hemoglobin
32789000	Ferritin	ferritina		ferritin
165730006	Transferrin saturation	determinación del índice de saturación de transferrina	bepalen van transferrinesaturatie	transferrinmättnad
414798009	N-terminal pro-B-type natriuretic peptide	propéptido natriurético tipo B N-terminal		N-terminal natriuretisk peptid av pro-B-typ
407059007	B-type natriuretic peptide	péptido natriurético cerebral		natriuretisk peptid, B-typ
711357009	Measurement of C-reactive protein using high sensitivity technique	medición de proteína C reactiva con técnica de alta sensibilidad	bepalen van hs-CRP	mätning av C-reaktivt protein med högkänslig teknik
61425002	C reactive protein	proteína reactiva C		c-reaktivt protein
102683006	Troponin I	troponina I		troponin I
102682001	Troponin T	troponina T		troponin T
85600001	Triacylglycerol	triglicérido	triacylglycerol	triacylglycerol
84698008	Cholesterol	colesterol	cholesterol	kolesterol
9422000	High density lipoprotein	lipoproteína de alta densidad	high-density lipoprotein	HDL
22244007	Low density lipoprotein	lipoproteína de baja densidad		LDL
88480006	Potassium	potasio	kalium	kalium
39972003	Sodium	sodio	natrium	natrium
60153001	Gamma-glutamyltransferase	gamma-glutamiltransferasa		gammaglutamyltransferas
271261008	Creatine measurement, urine	medición urinaria de creatina	bepalen van creatine in urine	mätning av kreatin i urin
26758005	Albumin measurement	medición de albúmina	bepaling van albumine	albuminmätning
271000000	Urine albumin measurement	medición de albúmina urinaria	bepalen van albumine in urine	mätning av albumin i urin
80274001	Glomerular filtration rate	tasa de filtración glomerular	glomerulaire filtratiesnelheid	glomerulär filtrationshastighet
105011006	Blood urea nitrogen measurement	medición de nitrógeno ureico en sangre	bepalen van bloed-ureum-stikstof	mätning av ureakväve i blod
271075006	Urine albumin/creatinine ratio measurement	medición urinaria del índice albúmina/creatinina	bepalen van albumine-creatinine-ratio in urine	mätning av albumin-kreatininkvot i urin
733830002	Glycated hemoglobin-A1c	hemoglobina glucosilada A1c		glykerat hemoglobin-A1c
194828000	Angina pectoris	angina de pecho	hartkramp	angina pectoris
49436004	Atrial fibrillation	fibrilación auricular	boezemfibrilleren	förmaksflimmer
85898001	Cardiomyopathy	miocardiopatía	cardiomyopathie	kardiomyopati
84114007	Heart failure	insuficiencia cardíaca	hartfalen	hjärtsvikt
38341003	Hypertensive disorder	hipertensión arterial	hypertensieve aandoening	hypertoni
414545008	Ischemic heart disease	cardiopatía isquémica	ischemische hartziekte	ischemisk hjärtsjukdom
22298006	Myocardial infarction	infarto de miocardio	hartaanval	hjärtinfarkt
840580004	Peripheral arterial disease	enfermedad arterial periférica	perifeer arterieel vaatlijden	perifer artärsjukdom
230690007	Cerebrovascular accident	accidente cerebrovascular	cerebrovasculair accident	stroke
266257000	Transient cerebral ischaemia	ataque isquémico transitorio	transient ischemic attack	transitorisk ischemisk attack
368009	Heart valve disorder	valvulopatía	hartklepaandoening	hjärtklaffsjukdom
62479008	AIDS	SIDA	verworven immunodeficiëntiesyndroom	AIDS (acquired immune deficiency syndrome)
86406008	Human immunodeficiency virus infection	infección por virus de la inmunodeficiencia humana	infectie door humaan immunodeficiëntievirus	infektion orsakad av humant immunbristvirus (HIV)
13645005	Chronic obstructive pulmonary disease	enfermedad pulmonar obstructiva crónica	COPD	kroniskt obstruktiv lungsjukdom
73211009	Diabetes mellitus	diabetes mellitus	diabetes mellitus	diabetes mellitus
52448006	Dementia	demencia	dementie	demens
35489007	Depressive disorder	trastorno depresivo	depressie	depression
265764009	Renal dialysis	diálisis renal	nierdialyse	njurdialys
34486009	Hyperthyroidism	hipertiroidismo	hyperthyreoïdie	hypertyreos
235856003	Disease of liver	enfermedad del hígado	leveraandoening	leversjukdom
363346000	Malignant neoplastic disease	neoplasia maligna	kanker	malign tumörsjukdom
78275009	Obstructive sleep apnea syndrome	síndrome de apnea obstructiva del sueño	obstructieveslaapapneusyndroom	obstruktivt sömnapnésyndrom
396332003	Rheumatism	reumatismo	reuma	reumatism
709044004	Chronic kidney disease	enfermedad renal crónica	chronische nierinsufficiëntie	kronisk njursjukdom
77176002	Smoker	fumador	roker	rökare
8517006	Ex-smoker	ex-fumador	rookte vroeger	före detta rökare
