ID	name	code	semantic_tag	label	term
DT4HDem-3	Sex female	248152002	finding	OTROS	 Female 
DT4HDem-4	Sex male	248153007	finding	OTROS	 Male 
DT4HDem-6	YOB	184099003	observable entity	OTROS	 Date of birth 
DT4HDem-7	Height	1153637007	observable entity	OTROS	Body height 
DT4HDem-8	Weight	27113001	observable entity	OTROS	 Body weight 
DT4HDem-9	BMI	60621009	observable entity	OTROS	 Body mass index 
DT4HDem-11	Origin	307117005	finding	OTROS	Place of origin 
DT4HDem-14	Admission date	399423000	observable entity	OTROS	Date of admission 
DT4HSign-1	NYHA class	420816009	assessment scale	OTROS	 New York Heart Association Classification
DT4HSign-2	Chest pain	29857009	finding	SINTOMA	 Chest pain 
DT4HSign-3	breathness	267036007	finding	SINTOMA	 Dyspnea 
DT4HSign-4	orthopnoea	62744007	finding	SINTOMA	Orthopnea 
DT4HSign-5	paroxysmal nocturnal dyspnoea	55442000	finding	SINTOMA	 Paroxysmal nocturnal dyspnea 
DT4HSign-6	reduced excercise tolerance	267044007	finding	SINTOMA	Impaired exercise tolerance 
DT4HSign-7	fatigue	84229001	finding	SINTOMA	Fatigue 
DT4HSign-8	ankle swelling	267039000	finding	SINTOMA	 Swollen ankle 
DT4HSign-9	nocturnal cough	62548007	finding	SINTOMA	Nocturnal cough 
DT4HSign-10	loss of appetite	79890006	finding	SINTOMA	Loss of appetite 
DT4HSign-11	depression	366979004	finding	ENFERMEDAD	Depressed mood 
DT4HSign-12	palpitation	80313002	finding	SINTOMA	 Palpitations 
DT4HSign-13	dizziness	404640003	finding	SINTOMA	 Dizziness 
DT4HSign-14	syncope	271594007	finding	ENFERMEDAD	 Syncope 
DT4HSign-15	elevated jugular venous pressure	22447003	finding	SINTOMA	 Raised jugular venous pressure 
DT4HSign-16	hepatojugular reflux	72196001	finding	SINTOMA	 Hepatojugular reflux 
DT4HSign-17	third heart sound	277455002	finding	SINTOMA	 Third heart sound 
DT4HSign-18	weight gain	262286000	finding	SINTOMA	 Weight increased 
DT4HSign-19	weight loss 	89362005	finding	SINTOMA	 Weight loss 
DT4HSign-20	cardiac murmur	88610006	finding	SINTOMA	 Heart murmur 
DT4HSign-21	peripheral edema (ankle, sacral, scrotal)	271809000	disorder	SINTOMA	 Peripheral edema 
DT4HSign-22	pulmonary crepitations	48409008	finding	SINTOMA	 Respiratory crackles 
DT4HSign-23	pleural effusion	60046008	disorder	ENFERMEDAD	 Pleural effusion 
DT4HSign-24	tachycardia	3424008	finding	SINTOMA	Tachycardia 
DT4HSign-25	irregular pulse	61086009	finding	SINTOMA	 Pulse irregular 
DT4HSign-26	tachypneoea	271823003	finding	SINTOMA	Tachypnea 
DT4HSign-27	cheyne-stokes respiration	309155007	finding	SINTOMA	Cheyne-Stokes respiration 
DT4HSign-28	hepatomegaly	80515008	disorder	ENFERMEDAD	Large liver 
DT4HSign-29	ascites	389026000	disorder	ENFERMEDAD	 Ascites 
DT4HSign-30	oliguria	83128009	finding	SINTOMA	 Oliguria 
DT4HMeas-1	BPsyst	399304008	observable entity	OTROS	399304008 Systolic blood pressure on admission 
DT4HMeas-2	Bpdia	446226005	observable entity	OTROS	 Diastolic blood pressure on admission 
DT4HMeas-3	Bpmean	6797001	observable entity	OTROS	Mean blood pressure 
DT4HMeas-5	Arterial oxygen saturation	442476006	observable entity	OTROS	Arterial oxygen saturation
DT4HEKG-1	Rhythm	251149006	observable entity	OTROS	 Cardiac rhythm type 
DT4HEKG-2	ECG_STEMI	401303003	disorder	ENFERMEDAD	Acute ST segment elevation myocardial infarction 
DT4HEKG-3	ECG_nSTEMI	401314000	disorder	ENFERMEDAD	Acute non-ST segment elevation myocardial infarction 
DT4HEKG-4	ECG_QRS	251208001	observable entity	OTROS	"QRS complex duration 
"
DT4HEKG-5	ECG_QRSaxis	251196003	observable entity	OTROS	 QRS Axis 
DT4HEKG-7	HR	364075005	observable entity	OTROS	Heart rate 
DT4H-US1	LVEF	250908004	observable entity	OTROS	"Left ventricular ejection fraction 
"
DT4H-US2	BSA	301898006	observable entity	OTROS	Body surface area 
DT4H-US5	LVEDV	301898006	observable entity	OTROS	Left ventricular end-diastolic cavity size 
DT4H-US7	LVESV	250931004	observable entity	OTROS	Left ventricular end-systolic cavity size 
DT4H-US13	RVEF	250939002	observable entity	OTROS	Right ventricular ejection fraction 
DT4H-Lab1	Hb	38082009	substance	OTROS	Hemoglobin
DT4H-Lab2	Ferritin	32789000	substance	OTROS	Ferritin
DT4H-Lab3	TFS	165730006	procedure	OTROS	Transferrin saturation index 
DT4H-Lab4	NTproBNP	414798009	substance	OTROS	N-terminal pro-B-type natriuretic peptide 
DT4H-Lab5	BNP	407059007	substance	OTROS	Brain natriuretic peptide 
DT4H-Lab6	CRPhs	711357009	procedure	OTROS	Measurement of C-reactive protein using high sensitivity technique
DT4H-Lab7	CRPnonhs	61425002	substance	OTROS	C-reactive protein 
DT4H-Lab8	TropIhs	102683006	substance	OTROS	Troponin I 
DT4H-Lab9	TropInhs	102683006	substance	OTROS	Troponin I 
DT4H-Lab10	TropThs	102682001	substance	OTROS	Troponin T
DT4H-Lab11	TropTnhs	102682001	substance	OTROS	Troponin T
DT4H-Lab12	TriGly	85600001	substance	OTROS	Triacylglycerol 
DT4H-Lab13	CholTot	84698008	substance	OTROS	Cholesterol 
DT4H-Lab14	HDL	9422000	substance	OTROS	High density lipoprotein 
DT4H-Lab15	LDL	22244007	substance	OTROS	Low density lipoprotein 
DT4H-Lab16	Potassium	88480006	substance	OTROS	Potassium
DT4H-Lab17	Sodium	39972003	substance	OTROS	sodium
DT4H-Lab18	GGT	60153001	substance	OTROS	Gamma-glutamyltransferase 
DT4H-Lab19	CreatUS	271261008	procedure	OTROS	 Urine creatine measurement 
DT4H-Lab20	AlbuminBS	26758005	procedure	OTROS	 Albumin measurement 
DT4H-Lab21	AlbuminUS	271000000	procedure	OTROS	 Urine albumin measurement 
DT4H-Lab22	eGFR	80274001	procedure	OTROS	 Glomerular filtration rate 
DT4H-Lab23	BUN	105011006	procedure	OTROS	Blood urea nitrogen measurement
DT4H-Lab24	ACR	271075006	procedure	OTROS	Urine albumin/creatinine ratio measurement 
DT4H-Lab25	HbA1c	733830002	substance	OTROS	 Hemoglobin A1c 
DT4H-CV1	Angina pectoris	194828000	disorder	ENFERMEDAD	Angina 
DT4H-CV2	Atrial fibrillation	49436004	disorder	ENFERMEDAD	Atrial fibrillation 
DT4H-CV3	Cardiomyopathies	85898001	disorder	ENFERMEDAD	 Cardiomyopathy 
DT4H-CV4	Heart failure	84114007	disorder	ENFERMEDAD	Heart failure 
DT4H-CV5	Hypertension	38341003	disorder	ENFERMEDAD	 Hypertensive disorder, systemic arterial 
DT4H-CV6	Ischemic Heart disorder	414545008	disorder	ENFERMEDAD	 Ischemic heart disorder
DT4H-CV7	Myocardial infarction	22298006	disorder	ENFERMEDAD	Myocardial infarction 
DT4H-CV8	Peripheral artery disorder	840580004	disorder	ENFERMEDAD	Peripheral arterial disorder
DT4H-CV9	Stroke	230690007	disorder	ENFERMEDAD	 Cerebrovascular accident 
DT4H-CV10	Transient Ischemic Attack	266257000	disorder	ENFERMEDAD	Transient ischemic attack 
DT4H-CV11	Valvular disorder	368009	disorder	ENFERMEDAD	Heart valve disorder 
DT4H-Dis1	AIDS or HIV diagnosis	62479008	disorder	ENFERMEDAD	" Acquired immune deficiency syndrome 
 "
DT4H-Dis2	HIV positive	86406008	disorder	ENFERMEDAD	Human immunodeficiency virus infection
DT4H-Dis3	Chronic Obstructive Pulmonic disorder	13645005	disorder	ENFERMEDAD	 Chronic obstructive lung disease 
DT4H-Dis4	Diabetes Mellitus	73211009	disorder	ENFERMEDAD	Diabetes mellitus 
DT4H-Dis5	Dementia	52448006	disorder	ENFERMEDAD	 Dementia 
DT4H-Dis6	Depression	35489007	disorder	ENFERMEDAD	Depressive disorder 
DT4H-Dis7	Dialysis	265764009	procedure	PROCEDIMIENTO	 Renal dialysis
DT4H-Dis8	Hyperthyroidism	34486009	disorder	ENFERMEDAD	 Hyperthyroidism 
DT4H-Dis9	Liver disorder	235856003	disorder	ENFERMEDAD	disorder of liver 
DT4H-Dis10	Malignant Cancer	363346000	disorder	ENFERMEDAD	 Malignant neoplastic disorder 
DT4H-Dis11	Obstructive Sleep Apnea	78275009	disorder	ENFERMEDAD	 Obstructive sleep apnea syndrome 
DT4H-Dis12	Rheumatic disorder	396332003	disorder	ENFERMEDAD	 Rheumatism 
DT4H-Dis13	Renal disorder chronic	709044004	disorder	ENFERMEDAD	 Chronic kidney disorder 
DT4H-SM1	Smoker	77176002	finding	ENFERMEDAD	Smoker 
DT4H-SM2	Ex-smoker 	8517006	finding	ENFERMEDAD	Ex-smoker 
DT4H-SM3	Smokes tobacco daily 	449868002	finding	ENFERMEDAD	Smokes tobacco daily 
DT4H-SM4	Occasional tobacco smoker 	428041000124106	finding	ENFERMEDAD	Occasional tobacco smoker 
DT4H-SM5	Ex-smoker 	8517006	finding	ENFERMEDAD	Ex-smoker 
DT4H-SM6	Never smoked tobacco	266919005	finding	OTROS	Never smoked tobacco
DT4H-SM7	Smoker	77176002	finding	ENFERMEDAD	Smoker
DT4H-SM8	Tobacco smoking consumption unknown 	266927001	finding	OTROS	Tobacco smoking consumption unknown 
DT4H-MedR1	RAS-inhibitors	866173006	substance	PROCEDIMIENTO	RAS-INHIBITORS
DT4H-MedA1	ACE-inhibitors	372733002	substance	PROCEDIMIENTO	ACE-INHIBITORS
DT4H-MedAR1	Angiotensin receptor blocker	372913009	substance	PROCEDIMIENTO	ANGIOTENSIN RECEPTOR BLOCKER
DT4H-Med2	Angiotensin receptor/neprilysin inhibitor (ARNI)	777480008	medicinal product	PROCEDIMIENTO	ANGIOTENSIN RECEPTOR/NEPRILYSIN INHIBITOR (ARNI)
DT4H-MedM1	Mineralcorticoid Receptor Antagonist (MRA)	372603003	substance	PROCEDIMIENTO	MINERALCORTICOID RECEPTOR ANTAGONIST (MRA)
DT4H-MedD1	Diuretics	372695000	substance	PROCEDIMIENTO	DIURETICS
DT4H-MedL1	Loop diuretics	372691009	substance	PROCEDIMIENTO	LOOP DIURETIC
DT4H-MedC1	Calcium Channel Blockers	373304005	substance	PROCEDIMIENTO	CALCIUM CHANNEL BLOCKER
DT4H-MedP1	Platelet inhibitor	771452004	substance	PROCEDIMIENTO	SUBSTANCE WITH PLATELET AGGREGATION INHIBITOR MECHANISM OF ACTION 
DT4H-MedCO1	Anticoagulants	372862008	substance	PROCEDIMIENTO	ANTICOAGULANTS
DT4H-MedS1	Statins	372912004	substance	PROCEDIMIENTO	STATINS
DT4H-MedDG1	Digitalis glycosides	406759007	substance	PROCEDIMIENTO	DIGITALIS GLYCOSIDES
DT4H-MedBB1	Betablockers	373254001	substance	PROCEDIMIENTO	BETABLOCKERS    
DT4H-MedRHY1	Class 1 and 3 antiarrhytmic drugs	782436006	substance	PROCEDIMIENTO	ANTIARRYTHMICS
DT4H-MedIV1	Ivabradine	421228002	substance	FARMACO	IVABRADINE
DT4H-MedSG1	SGLT-2 Inhibitor	703673007	substance	PROCEDIMIENTO	"SUBSTANCE WITH SODIUM GLUCOSE COTRANSPORTER SUBTYPE 2 INHIBITOR MECHANISM OF ACTION
"
DT4H-CV12	Revascularized CABG (Coronary artery bypass grafting)	232717009	procedure	PROCEDIMIENTO	Coronary artery bypass grafting
DT4H-Proc1	PCI (Percutaneous coronary intervention)	415070008	procedure	PROCEDIMIENTO	Percutaneous coronary intervention 
DT4H-Proc2	Cardiovascular implant	303490004	other	PROCEDIMIENTO	Cardiovascular implant
DT4H-Proc3	Vascular implant 	303617005	other	PROCEDIMIENTO	Vascular implant 
DT4H-Proc4	Transplant heart 	420291005	other	PROCEDIMIENTO	Transplant heart 
DT4H-MedR11	Substance with angiotensin II receptor antagonist mechanism of action 	372913009	substance	FARMACO	Substance with angiotensin II receptor antagonist mechanism of action 
DT4H-MedR111	Fimasartan potassium trihydrate	1332434009	substance	FARMACO	Fimasartan potassium trihydrate
DT4H-MedR112	Fimasartan	1332433003	substance	FARMACO	Fimasartan
DT4H-MedR113	Azilsartan medoxomil potassium	895431005	substance	FARMACO	Azilsartan medoxomil potassium
DT4H-MedR114	Irbesartan hydrochloride	734504000	substance	FARMACO	Irbesartan hydrochloride
DT4H-MedR115	Azilsartan medoxomil	449561004	substance	FARMACO	Azilsartan medoxomil
DT4H-MedR116	Azilsartan	449042005	substance	FARMACO	Azilsartan
DT4H-MedR117	Olmesartan medoxomil	412260006	substance	FARMACO	Olmesartan medoxomil
DT4H-MedR118	Olmesartan	412259001	substance	FARMACO	Olmesartan
DT4H-MedR119	Eprosartan	396044005	substance	FARMACO	Eprosartan
DT4H-MedR120	Telmisartan	387069000	substance	FARMACO	Telmisartan
DT4H-MedR121	Candesartan cilexetil	386878000	substance	FARMACO	Candesartan cilexetil
DT4H-MedR122	Irbesartan	386877005	substance	FARMACO	Irbesartan
DT4H-MedR123	Valsartan	386876001	substance	FARMACO	Valsartan
DT4H-MedR124	Losartan	373567002	substance	FARMACO	Losartan
DT4H-MedR125	Candesartan	372512008	substance	FARMACO	Candesartan
DT4H-MedR126	Eprosartan mesilate	129488003	substance	FARMACO	Eprosartan mesilate
DT4H-MedR127	Losartan potassium	108582002	substance	FARMACO	Losartan potassium
DT4H-MedR13	"Substance with angiotensin-converting 
enzyme inhibitor mechanism of action
"	372733002	substance	FARMACO	"Substance with angiotensin-converting 
enzyme inhibitor mechanism of action
"
DT4H-MedR131	Lisinopril dihydrate	341000220102	substance	FARMACO	Lisinopril dihydrate
DT4H-MedR132	Lisinopril anhydrous	1269132005	substance	FARMACO	Lisinopril anhydrous
DT4H-MedR133	Cilazapril anhydrous	1268982005	substance	FARMACO	Cilazapril anhydrous
DT4H-MedR134	Perindopril erbumine monohydrate	1119308007	substance	FARMACO	Perindopril erbumine monohydrate
DT4H-MedR135	Enalapril sodium	1119307002	substance	FARMACO	Enalapril sodium
DT4H-MedR136	Perindopril tosylate	735174001	substance	FARMACO	Perindopril tosylate
DT4H-MedR137	Cilazapril monohydrate	725786001	substance	FARMACO	Cilazapril monohydrate
DT4H-MedR138	Spirapril	713473008	substance	FARMACO	Spirapril
DT4H-MedR139	Zofenoprilat arginine	703343009	substance	FARMACO	Zofenoprilat arginine
DT4H-MedR140	Zofenoprilat	703342004	substance	FARMACO	Zofenoprilat
